event_id,session_id,order_id,timestamp,customer_id,customer_segment,product_id,category,event_type,device,channel,price_shown,quantity,total_amount,payment_method
1,S1,,2024-01-01 04:06:00,C101610,Returning,P1068,Travel & Hospitality,view,mobile,Website,74.0,,,
2,S1,,2024-01-01 04:09:00,C101610,Returning,P1068,Travel & Hospitality,add_to_cart,tablet,Website,74.0,,,
3,S3,,2024-01-01 04:05:00,C100540,Returning,P1068,Travel & Hospitality,view,tablet,Website,74.0,,,
4,S3,,2024-01-01 04:08:00,C100540,Returning,P1068,Travel & Hospitality,add_to_cart,desktop,Website,74.0,,,
5,S3,O3,2024-01-01 04:11:00,C100540,Returning,P1068,Travel & Hospitality,purchase,desktop,Website,74.0,3.0,222.0,Credit Card
6,S6,,2024-01-01 06:55:00,C101469,New,P1060,Travel & Hospitality,view,desktop,Mobile App,287.2,,,
7,S6,,2024-01-01 06:58:00,C101469,New,P1060,Travel & Hospitality,add_to_cart,desktop,Mobile App,287.2,,,
8,S6,O6,2024-01-01 07:01:00,C101469,New,P1060,Travel & Hospitality,purchase,mobile,Mobile App,287.2,2.0,574.4,Net Banking
9,S9,,2024-01-01 10:09:00,C101067,New,P1060,Travel & Hospitality,view,mobile,Mobile App,287.2,,,
10,S9,,2024-01-01 10:12:00,C101067,New,P1060,Travel & Hospitality,add_to_cart,tablet,Mobile App,287.2,,,
11,S11,,2024-01-04 10:08:00,C102874,New,P1060,Travel & Hospitality,view,mobile,Mobile App,287.2,,,
12,S11,,2024-01-04 10:11:00,C102874,New,P1060,Travel & Hospitality,add_to_cart,mobile,Mobile App,287.2,,,
13,S11,O11,2024-01-04 10:14:00,C102874,New,P1060,Travel & Hospitality,purchase,desktop,Mobile App,287.2,1.0,287.2,Debit Card
14,S14,,2024-01-04 01:51:00,C100096,Loyal,P1011,Fashion,view,desktop,Website,272.73,,,
15,S14,,2024-01-04 01:54:00,C100096,Loyal,P1011,Fashion,add_to_cart,tablet,Website,272.73,,,
16,S14,O14,2024-01-04 01:57:00,C100096,Loyal,P1011,Fashion,purchase,tablet,Website,272.73,1.0,272.73,Wallet
17,S17,,2024-01-04 19:20:00,C100027,Loyal,P1060,Travel & Hospitality,view,tablet,Mobile App,287.2,,,
18,S17,,2024-01-04 19:23:00,C100027,Loyal,P1060,Travel & Hospitality,add_to_cart,mobile,Mobile App,287.2,,,
19,S19,,2024-01-04 09:08:00,C101547,Returning,P1060,Travel & Hospitality,view,desktop,Mobile App,287.2,,,
20,S19,,2024-01-04 09:11:00,C101547,Returning,P1060,Travel & Hospitality,add_to_cart,tablet,Mobile App,287.2,,,
21,S19,O19,2024-01-04 09:14:00,C101547,Returning,P1060,Travel & Hospitality,purchase,tablet,Mobile App,287.2,1.0,287.2,Net Banking
22,S22,,2024-01-04 18:11:00,C102837,New,P1011,Fashion,view,mobile,Website,272.73,,,
23,S22,,2024-01-04 18:14:00,C102837,New,P1011,Fashion,add_to_cart,mobile,Website,272.73,,,
24,S24,,2024-01-04 01:03:00,C101425,New,P1055,Sports & Outdoors,view,tablet,Mobile App,736.44,,,
25,S24,,2024-01-04 01:06:00,C101425,New,P1055,Sports & Outdoors,add_to_cart,mobile,Mobile App,736.44,,,
26,S24,O24,2024-01-04 01:09:00,C101425,New,P1055,Sports & Outdoors,purchase,mobile,Mobile App,736.44,1.0,736.44,Credit Card
27,S27,,2024-01-04 19:18:00,C101793,Returning,P1055,Sports & Outdoors,view,tablet,Mobile App,736.44,,,
28,S28,,2024-01-04 14:07:00,C103768,New,P1011,Fashion,view,tablet,Website,272.73,,,
29,S29,,2024-01-04 05:31:00,C101281,New,P1055,Sports & Outdoors,view,desktop,Mobile App,736.44,,,
30,S30,,2024-01-04 09:38:00,C102591,New,P1011,Fashion,view,desktop,Website,272.73,,,
31,S31,,2024-01-04 15:57:00,C102122,New,P1068,Travel & Hospitality,view,desktop,Retail Store,74.0,,,
32,S32,,2024-01-04 03:43:00,C100644,Returning,P1068,Travel & Hospitality,view,desktop,Retail Store,74.0,,,
33,S33,,2024-01-04 15:49:00,C100139,New,P1060,Travel & Hospitality,view,tablet,Mobile App,287.2,,,
34,S33,,2024-01-04 15:52:00,C100139,New,P1060,Travel & Hospitality,add_to_cart,mobile,Mobile App,287.2,,,
35,S33,O33,2024-01-04 15:55:00,C100139,New,P1060,Travel & Hospitality,purchase,mobile,Mobile App,287.2,1.0,287.2,Debit Card
36,S36,,2024-01-04 17:40:00,C100346,VIP,P1055,Sports & Outdoors,view,desktop,Mobile App,736.44,,,
37,S37,,2024-01-04 02:55:00,C103510,New,P1011,Fashion,view,desktop,Website,272.73,,,
38,S38,,2024-01-04 13:07:00,C103351,Returning,P1011,Fashion,view,mobile,Website,272.73,,,
39,S38,,2024-01-04 13:10:00,C103351,Returning,P1011,Fashion,add_to_cart,desktop,Website,272.73,,,
40,S38,O38,2024-01-04 13:13:00,C103351,Returning,P1011,Fashion,purchase,desktop,Website,272.73,1.0,272.73,Debit Card
41,S41,,2024-01-04 14:53:00,C103923,Returning,P1055,Sports & Outdoors,view,tablet,Mobile App,736.44,,,
42,S41,,2024-01-04 14:56:00,C103923,Returning,P1055,Sports & Outdoors,add_to_cart,tablet,Mobile App,736.44,,,
43,S43,,2024-01-04 17:11:00,C102492,Returning,P1011,Fashion,view,desktop,Website,272.73,,,
44,S44,,2024-01-04 17:15:00,C103740,Returning,P1055,Sports & Outdoors,view,tablet,Mobile App,736.44,,,
45,S44,,2024-01-04 17:18:00,C103740,Returning,P1055,Sports & Outdoors,add_to_cart,mobile,Mobile App,736.44,,,
46,S46,,2024-01-07 21:05:00,C100329,New,P1068,Travel & Hospitality,view,mobile,Marketplace-B,74.0,,,
47,S46,,2024-01-07 21:08:00,C100329,New,P1068,Travel & Hospitality,add_to_cart,mobile,Marketplace-B,74.0,,,
48,S46,O46,2024-01-07 21:11:00,C100329,New,P1068,Travel & Hospitality,purchase,desktop,Marketplace-B,74.0,1.0,74.0,Credit Card
49,S49,,2024-01-07 16:43:00,C102675,Returning,P1055,Sports & Outdoors,view,tablet,Retail Store,736.44,,,
50,S50,,2024-01-07 21:55:00,C101586,Returning,P1055,Sports & Outdoors,view,desktop,Retail Store,736.44,,,
51,S50,,2024-01-07 21:58:00,C101586,Returning,P1055,Sports & Outdoors,add_to_cart,mobile,Retail Store,736.44,,,
52,S52,,2024-01-07 04:13:00,C101164,Returning,P1060,Travel & Hospitality,view,mobile,Mobile App,287.2,,,
53,S52,,2024-01-07 04:16:00,C101164,Returning,P1060,Travel & Hospitality,add_to_cart,desktop,Mobile App,287.2,,,
54,S54,,2024-01-07 09:22:00,C101889,New,P1011,Fashion,view,mobile,Mobile App,272.73,,,
55,S55,,2024-01-07 18:39:00,C103880,VIP,P1060,Travel & Hospitality,view,mobile,Mobile App,287.2,,,
56,S56,,2024-01-07 20:17:00,C100969,Returning,P1055,Sports & Outdoors,view,mobile,Retail Store,736.44,,,
57,S57,,2024-01-07 19:23:00,C100863,Returning,P1060,Travel & Hospitality,view,desktop,Mobile App,287.2,,,
58,S58,,2024-01-07 11:14:00,C102936,New,P1011,Fashion,view,tablet,Mobile App,272.73,,,
59,S58,,2024-01-07 11:17:00,C102936,New,P1011,Fashion,add_to_cart,desktop,Mobile App,272.73,,,
60,S60,,2024-01-07 11:30:00,C103397,Returning,P1060,Travel & Hospitality,view,mobile,Mobile App,287.2,,,
61,S60,,2024-01-07 11:33:00,C103397,Returning,P1060,Travel & Hospitality,add_to_cart,mobile,Mobile App,287.2,,,
62,S60,O60,2024-01-07 11:36:00,C103397,Returning,P1060,Travel & Hospitality,purchase,mobile,Mobile App,287.2,1.0,287.2,Wallet
63,S63,,2024-01-07 12:06:00,C103282,New,P1011,Fashion,view,tablet,Mobile App,272.73,,,
64,S64,,2024-01-07 19:54:00,C103922,New,P1068,Travel & Hospitality,view,mobile,Marketplace-B,74.0,,,
