date,product_id,category,list_price,discount_pct,final_price,units_sold,revenue,channel,stock_available,restocked,stockout_flag,warehouse,competitor_avg_price,competitor_min_price,day_of_week,is_weekend,is_holiday,holiday_name,is_festival_season,festival_name,is_promotional_event,promotional_event_name,market_demand_index,inflation_rate_pct,consumer_confidence_index
2024-07-08,P1000,Electronics,388.6,0.0,388.6,18,6994.8,Retail Store,245,False,False,WH-East,352.18,322.37,Monday,False,False,,False,,False,,81.0,5.78,104.5
2024-07-09,P1000,Electronics,388.6,0.0,388.6,15,5829.0,Marketplace-A,230,False,False,WH-North,352.18,322.37,Tuesday,False,False,,False,,False,,81.0,5.78,104.5
2024-07-10,P1000,Electronics,388.6,0.0,388.6,25,9715.0,Website,205,False,False,WH-North,352.18,322.37,Wednesday,False,False,,False,,False,,81.0,5.78,104.5
2024-07-11,P1000,Electronics,388.6,13.6,335.75,20,6715.0,Retail Store,185,False,False,WH-North,352.18,322.37,Thursday,False,False,,False,,False,,81.0,5.78,104.5
2024-07-12,P1000,Electronics,388.6,13.6,335.75,19,6379.25,Mobile App,166,False,False,WH-North,352.18,322.37,Friday,False,False,,False,,False,,81.0,5.78,104.5
2024-07-13,P1000,Electronics,388.6,0.0,388.6,9,3497.4,Marketplace-B,157,False,False,WH-North,352.18,322.37,Saturday,True,False,,False,,False,,81.0,5.78,104.5
2024-07-14,P1000,Electronics,388.6,0.0,388.6,17,6606.2,Marketplace-A,140,False,False,WH-East,352.18,322.37,Sunday,True,False,,False,,False,,81.0,5.78,104.5
2024-07-15,P1000,Electronics,388.6,0.0,388.6,13,5051.8,Marketplace-B,127,False,False,WH-North,354.88,332.95,Monday,False,False,,False,,False,,81.0,5.78,104.5
2024-07-16,P1000,Electronics,388.6,0.0,388.6,14,5440.4,Website,113,False,False,WH-East,354.88,332.95,Tuesday,False,False,,False,,False,,81.0,5.78,104.5
2024-07-17,P1000,Electronics,388.6,0.0,388.6,15,5829.0,Marketplace-B,98,False,False,WH-Central,354.88,332.95,Wednesday,False,False,,False,,False,,81.0,5.78,104.5
