Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Price,Discount,Weather Condition,Promotion,Competitor Pricing,Seasonality,Epidemic,Demand,Year,Month,Day,Revenue,Inventory Group,Price Difference,Relative Price Difference,Relative Price Difference %,Price Position
2022-01-01,S001,P0001,Electronics,North,195,102,252,72.72,5,Snowy,0,85.73,Winter,0,115,2022,1,1,7046.567999999999,"(183.0, 287.0]",-13.010000000000005,-0.1517555114895603,-15.175551148956028,Cheaper than Competitor
2022-01-01,S001,P0002,Clothing,North,117,117,249,80.16,15,Snowy,1,92.02,Winter,0,229,2022,1,1,7971.911999999999,"(-0.001, 123.0]",-11.86,-0.1288850249945664,-12.888502499456639,Cheaper than Competitor
2022-01-01,S001,P0003,Clothing,North,247,114,612,62.94,10,Snowy,1,60.08,Winter,0,157,2022,1,1,6457.644,"(183.0, 287.0]",2.8599999999999994,0.04760319573901464,4.760319573901464,Similar to Competitor
2022-01-01,S001,P0004,Electronics,North,139,45,102,87.63,10,Snowy,0,85.19,Winter,0,52,2022,1,1,3549.015,"(123.0, 183.0]",2.4399999999999977,0.028641859373165837,2.864185937316584,Similar to Competitor
2022-01-01,S001,P0005,Groceries,North,152,65,271,54.41,0,Snowy,0,51.63,Winter,0,59,2022,1,1,3536.6499999999996,"(123.0, 183.0]",2.779999999999994,0.053844663955064764,5.384466395506476,More Expensive than Competitor
2022-01-01,S001,P0006,Toys,North,209,60,0,35.53,0,Snowy,0,40.01,Winter,0,55,2022,1,1,2131.8,"(183.0, 287.0]",-4.479999999999997,-0.11197200699825037,-11.197200699825038,Cheaper than Competitor
2022-01-01,S001,P0007,Groceries,North,118,81,335,23.27,5,Snowy,0,24.78,Winter,0,94,2022,1,1,1790.6264999999999,"(-0.001, 123.0]",-1.5100000000000016,-0.06093623890234066,-6.093623890234066,Cheaper than Competitor
2022-01-01,S001,P0008,Electronics,North,244,42,0,37.79,5,Snowy,0,44.85,Winter,0,61,2022,1,1,1507.821,"(183.0, 287.0]",-7.060000000000002,-0.1574136008918618,-15.741360089186179,Cheaper than Competitor
2022-01-01,S001,P0009,Clothing,North,115,88,139,94.2,5,Snowy,0,108.7,Winter,0,129,2022,1,1,7875.12,"(-0.001, 123.0]",-14.5,-0.13339466421343146,-13.339466421343147,Cheaper than Competitor
2022-01-01,S001,P0010,Furniture,North,192,70,300,113.35,10,Snowy,0,129.98,Winter,0,69,2022,1,1,7141.05,"(183.0, 287.0]",-16.629999999999995,-0.1279427604246807,-12.79427604246807,Cheaper than Competitor
