Transaction_ID,Product_ID,Product_Category,Price,Discount,Customer_ID,Customer_Age,Customer_Gender,Purchase_Timestamp,Payment_Method,Shipping_Type,Review_Rating,Purchase Probability
T180787,P8392,Books,15.58,0.46,C66501,49,Male,3/31/2024 14:16,Credit Card,Express,1,0
T750990,P5778,Books,62,12.27,C12853,26,Other,2/10/2024 9:31,Debit Card,Express,2,1
T627626,P5136,Home & Kitchen,958.29,61.67,C74523,23,Male,5/23/2024 13:04,Debit Card,Express,4,0
T602068,P5945,Electronics,657.01,135.43,C31822,33,Female,6/22/2024 9:20,PayPal,Standard,1,0
T286338,P8427,Home & Kitchen,147.16,22.23,C84859,40,Other,5/16/2024 6:15,Credit Card,Express,2,1
T160024,P4759,Home & Kitchen,52.91,11.47,C48411,44,Female,3/31/2024 13:56,Net Banking,Standard,5,1
T729461,P4670,Books,205.59,7.86,C73288,69,Male,5/3/2024 11:42,PayPal,Express,3,0
T799627,P8173,Electronics,158.92,34.94,C67063,42,Female,12/15/2024 5:23,Net Banking,Standard,3,1
T346055,P1628,Clothing,534.48,91.83,C12919,32,Male,1/21/2024 6:36,Debit Card,Express,3,1
T927201,P4211,Clothing,185.36,53.99,C27928,53,Male,2/3/2024 0:11,Debit Card,Standard,1,0
T417121,P6673,Home & Kitchen,979.25,283.78,C19825,44,Other,7/29/2024 9:22,Debit Card,Standard,4,1
T993352,P7502,Clothing,900.41,197.97,C18810,32,Female,8/14/2024 18:44,Debit Card,Standard,1,0
T663015,P9994,Electronics,432.83,38.96,C67904,44,Male,6/14/2024 6:17,Net Banking,Express,5,1
T695082,P4794,Electronics,35.91,6.25,C27646,49,Female,11/11/2024 21:55,Debit Card,Standard,1,0
T326539,P8535,Home & Kitchen,40.45,4.2,C45496,65,Male,5/17/2024 6:07,Credit Card,Express,4,1
T178565,P1036,Books,843,154.58,C76997,57,Male,12/24/2024 8:18,Net Banking,Standard,1,0
T603352,P9890,Books,939.17,205.56,C38717,50,Other,10/17/2024 22:56,Net Banking,Express,3,0
T228379,P9571,Books,650.85,172.99,C85357,24,Male,6/23/2024 1:17,Debit Card,Standard,1,0
T261816,P6065,Clothing,294.66,50.46,C68870,58,Female,9/21/2024 20:17,PayPal,Express,2,0
T882114,P6271,Clothing,531.4,36.93,C62869,42,Male,2/6/2024 0:57,Credit Card,Express,2,0
T767183,P3463,Home & Kitchen,735.15,196.16,C19964,65,Female,5/5/2024 10:18,Debit Card,Standard,2,0
T492777,P7188,Books,719.18,105.44,C94760,65,Male,2/10/2024 14:38,PayPal,Express,2,0
T395911,P6386,Home & Kitchen,190.36,28.95,C97700,19,Other,3/25/2024 10:44,PayPal,Standard,2,1
T423815,P2756,Electronics,533.93,61.6,C69994,19,Male,8/30/2024 8:32,Credit Card,Standard,1,0
T910033,P9720,Home & Kitchen,441.98,108.98,C23041,49,Male,6/30/2024 11:52,PayPal,Standard,4,1
T935818,P2945,Clothing,62.59,4.34,C62315,68,Male,12/29/2024 23:09,Debit Card,Standard,5,1
T667887,P7541,Clothing,154.83,14.72,C71938,37,Male,10/23/2024 20:14,PayPal,Express,3,1
T642928,P3141,Home & Kitchen,401.1,64.24,C15598,30,Male,2/20/2024 3:09,Debit Card,Express,3,1
T326043,P2695,Home & Kitchen,834.4,167.91,C46683,39,Other,5/25/2024 6:26,Net Banking,Standard,1,0
T876672,P2439,Home & Kitchen,381.12,44.2,C50952,40,Male,1/30/2024 8:00,PayPal,Standard,5,1
T936875,P8707,Clothing,700.81,12.98,C13153,37,Male,3/3/2024 12:48,PayPal,Standard,4,1
T315816,P2026,Home & Kitchen,548.26,16.97,C24083,18,Male,6/30/2024 5:33,PayPal,Express,1,0
T487094,P1057,Clothing,32.35,0.52,C16587,61,Female,8/14/2024 12:18,Debit Card,Express,3,1
T870069,P1170,Electronics,419.31,54.17,C59431,69,Male,10/5/2024 0:57,Debit Card,Express,5,1
T352552,P3401,Home & Kitchen,337.16,33.07,C89368,69,Male,3/20/2024 9:33,Net Banking,Standard,5,1
T467438,P9943,Home & Kitchen,125.27,8.53,C83637,20,Other,10/11/2024 19:07,Net Banking,Standard,4,1
T882114,P6271,Clothing,531.4,36.93,C62869,42,Male,2/6/2024 0:57,Credit Card,Express,2,0
T470837,P2518,Home & Kitchen,815.56,171.92,C22943,64,Male,1/26/2024 7:22,Debit Card,Express,4,0
T485262,P5711,Clothing,180.47,27.72,C75008,34,Other,7/9/2024 10:04,Net Banking,Standard,3,1
T325327,P5495,Books,450.11,7.45,C22157,28,Female,11/23/2024 7:37,Credit Card,Standard,4,1
T689703,P4543,Electronics,521.92,46.66,C44226,35,Female,5/16/2024 19:52,Credit Card,Standard,5,1
T453004,P8458,Home & Kitchen,34.42,2.61,C20181,68,Male,11/29/2024 2:12,Debit Card,Standard,2,0
T288218,P1511,Electronics,578.95,83.57,C45559,51,Other,4/17/2024 17:35,Net Banking,Standard,1,0
T415241,P3750,Clothing,875.21,240.21,C79959,54,Other,10/2/2024 14:03,Credit Card,Standard,3,0
T449440,P6101,Electronics,703.69,197.59,C24623,44,Female,7/2/2024 2:10,Credit Card,Standard,1,0
T731981,P6280,Books,164.75,1.57,C31243,34,Male,9/26/2024 20:40,Net Banking,Standard,3,1
T865416,P8050,Clothing,887.98,8.08,C41870,69,Other,11/30/2024 15:37,Net Banking,Express,4,0
T236236,P4036,Clothing,424.81,60.36,C92038,54,Male,1/4/2024 19:01,Net Banking,Standard,2,0
T120892,P6380,Clothing,114.63,23.36,C80734,69,Other,4/12/2024 17:35,Net Banking,Express,1,0
T506649,P4749,Books,938.89,14.47,C85280,59,Male,9/13/2024 0:45,Debit Card,Standard,3,0
T863471,P1803,Books,427.74,16.53,C19445,35,Male,6/8/2024 5:03,Debit Card,Standard,1,0
T564138,P6042,Books,258.65,8.64,C83319,69,Female,12/27/2024 1:21,Credit Card,Express,2,0
T747737,P3897,Home & Kitchen,446.84,90.68,C94159,34,Other,11/8/2024 20:17,Credit Card,Standard,4,1
T672079,P9962,Electronics,129.55,18.9,C84518,39,Female,6/7/2024 18:08,PayPal,Standard,1,0
T449422,P3997,Clothing,923.43,247.19,C14150,31,Male,8/17/2024 18:39,Net Banking,Express,4,1
T841728,P1036,Clothing,82.72,9.76,C66577,52,Female,8/3/2024 4:19,Credit Card,Express,1,0
T849321,P6512,Electronics,517.29,1.42,C94391,55,Other,11/27/2024 22:50,Credit Card,Standard,4,1
T637451,P9138,Home & Kitchen,796.41,70.57,C11546,23,Male,1/27/2024 1:17,PayPal,Standard,5,1
T120598,P2710,Home & Kitchen,47.77,11.21,C18248,58,Other,5/29/2024 4:37,PayPal,Standard,3,1
T883047,P3134,Books,208.38,15.44,C92180,64,Female,12/9/2024 14:47,PayPal,Standard,4,1
T661660,P9045,Home & Kitchen,168.82,12.2,C79955,20,Other,11/25/2024 19:49,PayPal,Standard,1,0
T281973,P2475,Home & Kitchen,751,102.05,C66933,66,Female,11/8/2024 17:45,Credit Card,Standard,2,0
T445043,P4962,Electronics,955.32,259.32,C56093,41,Female,4/18/2024 11:56,Credit Card,Express,3,0
T418015,P3124,Clothing,611.58,113.71,C75965,47,Female,11/16/2024 6:20,Debit Card,Express,2,0
T239282,P1217,Clothing,425.34,23.81,C69615,54,Male,12/17/2024 6:28,Credit Card,Express,2,0
T726863,P2902,Clothing,850.32,205.16,C37183,45,Female,1/24/2024 15:57,Debit Card,Standard,1,0
T224825,P8705,Clothing,717.06,3,C47678,41,Female,10/24/2024 17:12,Credit Card,Express,2,0
T419468,P9175,Home & Kitchen,718.82,136.28,C53898,29,Female,6/15/2024 21:07,Debit Card,Standard,4,1
T359949,P2818,Books,435.53,22.1,C50415,48,Other,4/17/2024 13:09,Net Banking,Standard,4,1
T372286,P5085,Home & Kitchen,769.3,29.31,C57349,43,Other,4/7/2024 10:40,Debit Card,Express,2,0
T445043,P4962,Electronics,955.32,259.32,C56093,41,Female,4/18/2024 11:56,Credit Card,Express,3,0
T337309,P9917,Electronics,551.71,8.3,C37238,30,Other,3/10/2024 20:07,Debit Card,Standard,2,0
T969137,P3270,Books,164.63,20.92,C54588,45,Female,4/22/2024 8:26,Debit Card,Standard,5,1
T353462,P8533,Electronics,286.7,14.45,C79233,25,Female,9/30/2024 16:14,Debit Card,Express,3,1
T763586,P6770,Home & Kitchen,361.86,65.17,C49438,33,Female,9/10/2024 8:48,Debit Card,Standard,5,1
T573220,P1588,Books,470.29,8.03,C55246,69,Male,9/27/2024 8:20,Debit Card,Express,4,0
T224057,P1282,Clothing,641.71,70.76,C50499,53,Male,4/13/2024 6:44,Debit Card,Standard,1,0
T959969,P5794,Clothing,394.51,18.46,C87309,40,Male,9/25/2024 2:54,Credit Card,Standard,1,0
T548964,P7534,Clothing,730.98,52.2,C94256,70,Other,12/19/2024 3:13,Debit Card,Standard,4,0
T306896,P8208,Clothing,622.09,68.25,C30095,48,Other,11/25/2024 23:30,Debit Card,Standard,3,0
T246903,P4779,Books,84.08,13,C13954,47,Male,3/21/2024 23:05,PayPal,Express,4,1
T366362,P8614,Books,557.39,112.86,C50421,25,Other,12/16/2024 13:33,Net Banking,Standard,1,0
T484440,P3594,Electronics,781.09,225.8,C78075,58,Female,6/24/2024 10:39,Credit Card,Express,2,0
T238026,P6664,Electronics,946.62,135.4,C67630,34,Male,12/1/2024 0:22,PayPal,Express,3,0
T941602,P8496,Books,153.84,24.64,C43509,66,Male,3/16/2024 0:04,PayPal,Express,1,0
T357969,P6881,Clothing,332.35,95.99,C66118,35,Other,12/1/2024 22:04,Debit Card,Express,5,1
T858748,P5583,Home & Kitchen,683.26,109.74,C21373,42,Other,6/24/2024 0:14,PayPal,Express,5,1
T662055,P6157,Clothing,733.7,136.73,C64291,51,Female,8/28/2024 14:20,Credit Card,Express,1,0
T516136,P2707,Books,564.43,11.51,C51879,25,Male,1/4/2024 3:53,Credit Card,Express,5,1
T517317,P2282,Electronics,706.47,148.05,C43837,46,Other,6/18/2024 14:52,Net Banking,Standard,1,0
T776597,P6426,Electronics,400.41,113.58,C91414,55,Other,4/20/2024 12:28,Credit Card,Express,5,1
