Date,Store ID,Product ID,Inventory Level,Units Sold,Units Ordered,Price,Discount,Promotion,Competitor Pricing,Epidemic,Demand,Year,Month,Day,DayOfWeek,Price Difference,Price Ratio,Category_Electronics,Category_Furniture,Category_Groceries,Category_Toys,Region_North,Region_South,Region_West,Weather Condition_Rainy,Weather Condition_Snowy,Weather Condition_Sunny,Seasonality_Spring,Seasonality_Summer,Seasonality_Winter
2022-01-01,S001,P0001,195,102,252,72.72,5,0,85.73,0,115,2022,1,1,5,-13.010000000000005,0.8482444885104397,True,False,False,False,True,False,False,False,True,False,False,False,True
2022-01-01,S001,P0002,117,117,249,80.16,15,1,92.02,0,229,2022,1,1,5,-11.86,0.8711149750054336,False,False,False,False,True,False,False,False,True,False,False,False,True
2022-01-01,S001,P0003,247,114,612,62.94,10,1,60.08,0,157,2022,1,1,5,2.8599999999999994,1.0476031957390146,False,False,False,False,True,False,False,False,True,False,False,False,True
2022-01-01,S001,P0004,139,45,102,87.63,10,0,85.19,0,52,2022,1,1,5,2.4399999999999977,1.0286418593731659,True,False,False,False,True,False,False,False,True,False,False,False,True
2022-01-01,S001,P0005,152,65,271,54.41,0,0,51.63,0,59,2022,1,1,5,2.779999999999994,1.0538446639550647,False,False,True,False,True,False,False,False,True,False,False,False,True
2022-01-01,S001,P0006,209,60,0,35.53,0,0,40.01,0,55,2022,1,1,5,-4.479999999999997,0.8880279930017496,False,False,False,True,True,False,False,False,True,False,False,False,True
2022-01-01,S001,P0007,118,81,335,23.27,5,0,24.78,0,94,2022,1,1,5,-1.5100000000000016,0.9390637610976593,False,False,True,False,True,False,False,False,True,False,False,False,True
2022-01-01,S001,P0008,244,42,0,37.79,5,0,44.85,0,61,2022,1,1,5,-7.060000000000002,0.8425863991081382,True,False,False,False,True,False,False,False,True,False,False,False,True
2022-01-01,S001,P0009,115,88,139,94.2,5,0,108.7,0,129,2022,1,1,5,-14.5,0.8666053357865685,False,False,False,False,True,False,False,False,True,False,False,False,True
2022-01-01,S001,P0010,192,70,300,113.35,10,0,129.98,0,69,2022,1,1,5,-16.629999999999995,0.8720572395753193,False,True,False,False,True,False,False,False,True,False,False,False,True
2022-01-01,S001,P0011,215,51,142,156.34,0,0,188.96,0,64,2022,1,1,5,-32.620000000000005,0.8273708721422524,False,True,False,False,True,False,False,False,True,False,False,False,True
2022-01-01,S001,P0012,289,121,215,84.48,0,0,92.02,0,104,2022,1,1,5,-7.539999999999992,0.9180612910236906,False,False,True,False,True,False,False,False,True,False,False,False,True
2022-01-01,S001,P0013,279,113,0,33.1,5,0,39.11,0,110,2022,1,1,5,-6.009999999999998,0.8463308616722066,False,False,False,True,True,False,False,False,True,False,False,False,True
2022-01-01,S001,P0014,252,121,479,80.13,10,1,92.24,0,165,2022,1,1,5,-12.11,0.8687120555073721,False,False,True,False,True,False,False,False,True,False,False,False,True
2022-01-01,S001,P0015,119,55,74,14.39,5,0,13.59,0,64,2022,1,1,5,0.8000000000000007,1.0588668138337014,False,False,False,True,True,False,False,False,True,False,False,False,True
2022-01-01,S001,P0016,103,78,372,38.79,10,0,35.14,0,115,2022,1,1,5,3.6499999999999986,1.103870233352305,False,False,True,False,True,False,False,False,True,False,False,False,True
2022-01-01,S001,P0017,128,59,0,21.21,0,0,22.73,0,75,2022,1,1,5,-1.5199999999999996,0.9331280246370436,False,False,False,True,True,False,False,False,True,False,False,False,True
2022-01-01,S001,P0018,281,78,0,54.4,5,0,54.1,0,66,2022,1,1,5,0.29999999999999716,1.0055452865064693,False,False,True,False,True,False,False,False,True,False,False,False,True
2022-01-01,S001,P0019,281,61,0,95.56,10,0,103.05,0,58,2022,1,1,5,-7.489999999999995,0.9273168364871422,False,True,False,False,True,False,False,False,True,False,False,False,True
2022-01-01,S001,P0020,266,36,0,100.47,5,0,115.24,0,43,2022,1,1,5,-14.769999999999996,0.8718326969802153,False,True,False,False,True,False,False,False,True,False,False,False,True
2022-01-01,S002,P0001,102,102,331,90.89,0,0,81.87,0,118,2022,1,1,5,9.019999999999996,1.1101746671552462,False,False,True,False,False,True,False,False,False,False,False,False,True
2022-01-01,S002,P0002,193,119,192,25.68,25,1,30.95,0,105,2022,1,1,5,-5.27,0.8297253634894992,False,False,False,True,False,True,False,False,False,False,False,False,True
2022-01-01,S002,P0003,187,167,596,95.17,10,1,84.24,0,171,2022,1,1,5,10.930000000000007,1.1297483380816715,False,False,True,False,False,True,False,False,False,False,False,False,True
2022-01-01,S002,P0004,160,111,339,39.54,10,0,46.57,0,110,2022,1,1,5,-7.030000000000001,0.8490444492162336,False,False,True,False,False,True,False,False,False,False,False,False,True
2022-01-01,S002,P0005,155,103,334,92.35,0,0,104.72,0,94,2022,1,1,5,-12.370000000000005,0.8818754774637128,True,False,False,False,False,True,False,False,False,False,False,False,True
2022-01-01,S002,P0006,198,79,0,64.0,5,0,57.37,0,88,2022,1,1,5,6.630000000000003,1.1155656266341294,False,False,False,False,False,True,False,False,False,False,False,False,True
2022-01-01,S002,P0007,233,89,226,25.47,10,0,30.08,0,93,2022,1,1,5,-4.609999999999999,0.8467420212765957,False,False,False,True,False,True,False,False,False,False,False,False,True
2022-01-01,S002,P0008,124,124,99,25.63,5,0,29.79,0,112,2022,1,1,5,-4.16,0.8603558241020477,False,False,True,False,False,True,False,False,False,False,False,False,True
2022-01-01,S002,P0009,131,131,260,64.84,10,0,68.68,0,145,2022,1,1,5,-3.8400000000000034,0.9440885264997088,False,False,True,False,False,True,False,False,False,False,False,False,True
