YearMonth,Orders,Quantity_Sold,Revenue,Revenue_Growth_%,Average_Order_Value
2010-12,1553,358764,823746.14,,530.4224983902125
2011-01,1082,387432,691364.56,-16.07067682283767,638.9690942698707
2011-02,1093,283256,523631.89,-24.261103288256493,479.0776669716377
2011-03,1441,377126,717639.36,37.050354209710164,498.01482303955584
2011-04,1237,308528,537808.621,-25.0586504898505,434.76848908649964
2011-05,1669,395405,770536.02,43.273274156012455,461.6752666267226
2011-06,1525,388843,761739.9,-1.1415585737315714,499.5015737704918
2011-07,1452,401369,719221.191,-5.581788350590545,495.33139876033056
2011-08,1341,421460,759138.38,5.550057409251163,566.0987173750932
2011-09,1821,569970,1058590.172,39.446272233001835,581.3235431081823
2011-10,2008,621747,1154979.3,9.105424417259744,575.1888944223108
2011-11,2753,750107,1509496.33,30.694665263697797,548.3096004358881
2011-12,817,313289,638792.68,-57.681733482584875,781.8759853121176
